source,receiver,start,end,year,method,id
WAIT,PYZ,305,335,2022,all,550
WAIT,PYZ,335,365,2022,all,551
WAIT,WHZ,1,32,2022,all,552
WAIT,WHZ,32,60,2022,all,553
WAIT,WHZ,60,91,2022,all,554
WAIT,WHZ,91,121,2022,all,555
WAIT,WHZ,121,152,2022,all,556
WAIT,WHZ,152,182,2022,all,557
WAIT,WHZ,182,213,2022,all,558
WAIT,WHZ,213,244,2022,all,559
WAIT,WHZ,244,274,2022,all,560
WAIT,WHZ,274,305,2022,all,561
WAIT,WHZ,305,335,2022,all,562
WAIT,WHZ,335,365,2022,all,563
WAIT,TUZ,1,32,2022,all,564
WAIT,TUZ,32,60,2022,all,565
WAIT,TUZ,60,91,2022,all,566
WAIT,TUZ,91,121,2022,all,567
WAIT,TUZ,121,152,2022,all,568
WAIT,TUZ,152,182,2022,all,569
WAIT,TUZ,182,213,2022,all,570
WAIT,TUZ,213,244,2022,all,571
WAIT,TUZ,244,274,2022,all,572
WAIT,TUZ,274,305,2022,all,573
WAIT,TUZ,305,335,2022,all,574
WAIT,TUZ,335,365,2022,all,575
WAIT,SYZ,1,32,2022,all,576
WAIT,SYZ,32,60,2022,all,577
WAIT,SYZ,60,91,2022,all,578
WAIT,SYZ,91,121,2022,all,579
WAIT,SYZ,121,152,2022,all,580
WAIT,SYZ,152,182,2022,all,581
WAIT,SYZ,182,213,2022,all,582
WAIT,SYZ,213,244,2022,all,583
WAIT,SYZ,244,274,2022,all,584
WAIT,SYZ,274,305,2022,all,585
WAIT,SYZ,305,335,2022,all,586
WAIT,SYZ,335,365,2022,all,587
WAIT,WEL,1,32,2022,all,588
WAIT,WEL,32,60,2022,all,589
WAIT,WEL,60,91,2022,all,590
WAIT,WEL,91,121,2022,all,591
WAIT,WEL,121,152,2022,all,592
WAIT,WEL,152,182,2022,all,593
WAIT,WEL,182,213,2022,all,594
WAIT,WEL,213,244,2022,all,595
WAIT,WEL,244,274,2022,all,596
WAIT,WEL,274,305,2022,all,597
WAIT,WEL,305,335,2022,all,598
WAIT,WEL,335,365,2022,all,599
HAUP,MQZ,1,32,2022,all,600
HAUP,MQZ,32,60,2022,all,601
HAUP,MQZ,60,91,2022,all,602
