source,receiver,start,end,year,method,id
MTFO,OXZ,121,152,2022,cohe,264
MTFO,OXZ,152,182,2022,cohe,265
MTFO,OXZ,182,213,2022,cohe,266
MTFO,OXZ,213,244,2022,cohe,267
MTFO,OXZ,244,274,2022,cohe,268
MTFO,OXZ,274,305,2022,cohe,269
MTFO,OXZ,305,335,2022,cohe,270
MTFO,OXZ,335,365,2022,cohe,271
MTFO,RPZ,1,32,2022,cohe,272
MTFO,RPZ,32,60,2022,cohe,273
MTFO,RPZ,60,91,2022,cohe,274
MTFO,RPZ,91,121,2022,cohe,275
MTFO,RPZ,121,152,2022,cohe,276
MTFO,RPZ,152,182,2022,cohe,277
MTFO,RPZ,182,213,2022,cohe,278
MTFO,RPZ,213,244,2022,cohe,279
MTFO,RPZ,244,274,2022,cohe,280
MTFO,RPZ,274,305,2022,cohe,281
MTFO,RPZ,305,335,2022,cohe,282
MTFO,RPZ,335,365,2022,cohe,283
MTFO,LBZ,1,32,2022,cohe,284
MTFO,LBZ,32,60,2022,cohe,285
MTFO,LBZ,60,91,2022,cohe,286
MTFO,LBZ,91,121,2022,cohe,287
MTFO,LBZ,121,152,2022,cohe,288
MTFO,LBZ,152,182,2022,cohe,289
MTFO,LBZ,182,213,2022,cohe,290
MTFO,LBZ,213,244,2022,cohe,291
MTFO,LBZ,244,274,2022,cohe,292
MTFO,LBZ,274,305,2022,cohe,293
MTFO,LBZ,305,335,2022,cohe,294
MTFO,LBZ,335,365,2022,cohe,295
MTFO,CVZ,1,32,2022,cohe,296
MTFO,CVZ,32,60,2022,cohe,297
MTFO,CVZ,60,91,2022,cohe,298
MTFO,CVZ,91,121,2022,cohe,299
MTFO,CVZ,121,152,2022,cohe,300
MTFO,CVZ,152,182,2022,cohe,301
MTFO,CVZ,182,213,2022,cohe,302
MTFO,CVZ,213,244,2022,cohe,303
MTFO,CVZ,244,274,2022,cohe,304
MTFO,CVZ,274,305,2022,cohe,305
MTFO,CVZ,305,335,2022,cohe,306
MTFO,CVZ,335,365,2022,cohe,307
MTFO,MSZ,1,32,2022,cohe,308
MTFO,MSZ,32,60,2022,cohe,309
MTFO,MSZ,60,91,2022,cohe,310
MTFO,MSZ,91,121,2022,cohe,311
MTFO,MSZ,121,152,2022,cohe,312
MTFO,MSZ,152,182,2022,cohe,313
MTFO,MSZ,182,213,2022,cohe,314
MTFO,MSZ,213,244,2022,cohe,315
MTFO,MSZ,244,274,2022,cohe,316
MTFO,MSZ,274,305,2022,cohe,317
MTFO,MSZ,305,335,2022,cohe,318
MTFO,MSZ,335,365,2022,cohe,319
MTFO,WKZ,1,32,2022,cohe,320
MTFO,WKZ,32,60,2022,cohe,321
MTFO,WKZ,60,91,2022,cohe,322
MTFO,WKZ,91,121,2022,cohe,323
MTFO,WKZ,121,152,2022,cohe,324
MTFO,WKZ,152,182,2022,cohe,325
MTFO,WKZ,182,213,2022,cohe,326
MTFO,WKZ,213,244,2022,cohe,327
MTFO,WKZ,244,274,2022,cohe,328
MTFO,WKZ,274,305,2022,cohe,329
MTFO,WKZ,305,335,2022,cohe,330
MTFO,WKZ,335,365,2022,cohe,331
MTFO,ODZ,1,32,2022,cohe,332
MTFO,ODZ,32,60,2022,cohe,333
MTFO,ODZ,60,91,2022,cohe,334
MTFO,ODZ,91,121,2022,cohe,335
MTFO,ODZ,121,152,2022,cohe,336
MTFO,ODZ,152,182,2022,cohe,337
MTFO,ODZ,182,213,2022,cohe,338
MTFO,ODZ,213,244,2022,cohe,339
MTFO,ODZ,244,274,2022,cohe,340
MTFO,ODZ,274,305,2022,cohe,341
MTFO,ODZ,305,335,2022,cohe,342
MTFO,ODZ,335,365,2022,cohe,343
MTFO,INZ,1,32,2022,cohe,344
MTFO,INZ,32,60,2022,cohe,345
MTFO,INZ,60,91,2022,cohe,346
MTFO,INZ,91,121,2022,cohe,347
MTFO,INZ,121,152,2022,cohe,348
MTFO,INZ,152,182,2022,cohe,349
MTFO,INZ,182,213,2022,cohe,350
MTFO,INZ,213,244,2022,cohe,351
